SMILES,CID,PreferredName,IUPACName,PrimarySynonym,Synonyms
C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCCN3C(=O)C2,72026,"2-(cyclohexanecarbonyl)-1,3,6,7,8,12b-hexahydropyrazino[2,1-a][2]benzazepin-4-one","2-(cyclohexanecarbonyl)-1,3,6,7,8,12b-hexahydropyrazino[2,1-a][2]benzazepin-4-one",Epsiprantel,"Epsiprantel; 98123-83-2; Cestex; Epsiprantelum; 0C1SPQ0FSR; DTXSID3057858; BRL38705; BRL-38705; DTXCID0031392; Pyrazino[2,1-a][2]benzazepin-4(1H)-one, 2-(cyclohexylcarbonyl)-2,3,6,7,8,12b-hexahydro-"
CCOC(=O)Nc1nc2ccccc2[nH]1,22752,ethyl N-(1H-benzimidazol-2-yl)carbamate,ethyl N-(1H-benzimidazol-2-yl)carbamate,Lobendazole,Lobendazole; 6306-71-4; Lobendazol; Ethyl 2-benzimidazolecarbamate; NSC-42044; Lobendazolum; SK&F 24529; CMF6Z78SWL; SK&F-24529; DTXSID70212390
CCOC(=O)NC1=NC2=CC=CC=C2N1,22752,ethyl N-(1H-benzimidazol-2-yl)carbamate,ethyl N-(1H-benzimidazol-2-yl)carbamate,Lobendazole,Lobendazole; 6306-71-4; Lobendazol; Ethyl 2-benzimidazolecarbamate; NSC-42044; Lobendazolum; SK&F 24529; CMF6Z78SWL; SK&F-24529; DTXSID70212390
CCCS(=O)C1=CC2=C(C=C1)N=C(N2)NC(=O)OC,83969,methyl N-(6-propylsulfinyl-1H-benzimidazol-2-yl)carbamate,methyl N-(6-propylsulfinyl-1H-benzimidazol-2-yl)carbamate,Albendazole oxide,Albendazole oxide; 54029-12-8; Albendazole sulfoxide; Ricobendazole; Albendazole S-oxide; Rycobendazole; Albendazole oxyde; Oxido de albendazol; Rycoben; (+-)-Albendazole sulfoxide
COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,4030,methyl N-(6-benzoyl-1H-benzimidazol-2-yl)carbamate,methyl N-(6-benzoyl-1H-benzimidazol-2-yl)carbamate,mebendazole,mebendazole; 31431-39-7; Vermox; Pantelmin; Telmin; Mebenvet; Ovitelmin; Vermicidin; Vermirax; MBDZ
CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12,13986,"N,N-dibutyl-4-hexoxynaphthalene-1-carboximidamide","N,N-dibutyl-4-hexoxynaphthalene-1-carboximidamide",Bunamidine,"Bunamidine; 3748-77-4; Bunamidina; Bunamidinum; N,N-Dibutyl-4-(hexyloxy)-1-naphthamidine; A9IW1G3P6C; N,N-Dibutyl-4-hexyloxy-1-naphthamidin; 1-Naphthalenecarboximidamide, N,N-dibutyl-4-(hexyloxy)-; DTXSID4048272; N,N-Dibutyl-4-(hexyloxy)naphthalene-1-carboximidamide"
CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12.Cl,13985,"N,N-dibutyl-4-hexoxynaphthalene-1-carboximidamide;hydrochloride","N,N-dibutyl-4-hexoxynaphthalene-1-carboximidamide;hydrochloride",Bunamidine hydrochloride,"Bunamidine hydrochloride; 1055-55-6; Bunamidine HCl; NSC-106571; Y80LB0Q7CB; N,N-Dibutyl-4-(hexyloxy)-1-naphthamidine monohydrochloride; DTXSID7046837; 1-Naphthalenecarboximidamide, N,N-dibutyl-4-(hexyloxy)-, monohydrochloride; DTXCID5026837; NSC106571"
CCCCCCOC1=CC=C(C2=CC=CC=C21)C(=N)N(CCCC)CCCC,13986,"N,N-dibutyl-4-hexoxynaphthalene-1-carboximidamide","N,N-dibutyl-4-hexoxynaphthalene-1-carboximidamide",Bunamidine,"Bunamidine; 3748-77-4; Bunamidina; Bunamidinum; N,N-Dibutyl-4-(hexyloxy)-1-naphthamidine; A9IW1G3P6C; N,N-Dibutyl-4-hexyloxy-1-naphthamidin; 1-Naphthalenecarboximidamide, N,N-dibutyl-4-(hexyloxy)-; DTXSID4048272; N,N-Dibutyl-4-(hexyloxy)naphthalene-1-carboximidamide"
CCCC(=O)C1=C(C(=C(C(=C1O)CC2(C(=C(C(=C(C2=O)C(=O)C(C)CC)O)C)O)C)O)C)OC,128292,"6-[(3-butanoyl-2,6-dihydroxy-4-methoxy-5-methylphenyl)methyl]-3,5-dihydroxy-4,6-dimethyl-2-(2-methylbutanoyl)cyclohexa-2,4-dien-1-one","6-[(3-butanoyl-2,6-dihydroxy-4-methoxy-5-methylphenyl)methyl]-3,5-dihydroxy-4,6-dimethyl-2-(2-methylbutanoyl)cyclohexa-2,4-dien-1-one",65792-05-4,"65792-05-4; 6-((2,6-Dihydroxy-4-methoxy-3-methyl-5-(1-oxobutyl)phenyl)methyl)-3,5-dihydroxy-4,6-dimethyl-2-(2-methyl-1-oxobutyl)-2,4-cyclohexadien-1-one; 6-[[2,6-Dihydroxy-4-methoxy-3-methyl-5-(1-oxobutyl)phenyl]methyl]-3,5-dihydroxy-4,6-dimethyl-2-(2-methyl-1-oxobutyl)-2,4-cyclohexadien-1-one; RefChem:306397; 6-[(3-butanoyl-2,6-dihydroxy-4-methoxy-5-methylphenyl)methyl]-3,5-dihydroxy-4,6-dimethyl-2-(2-methylbutanoyl)cyclohexa-2,4-dien-1-one; CID 128292; BRN 2195872; MEGxp0_000406; SCHEMBL2313302; AKOS015965215"
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C1CC1,26450,bis(4-chlorophenyl)-cyclopropylmethanol,bis(4-chlorophenyl)-cyclopropylmethanol,Proclonol,"Proclonol; 14088-71-2; Proclonolum; R 8284; 2IGW7XIE2Y; R-8284; DTXSID4057972; bis(4-chlorophenyl)cyclopropylmethanol; Benzenemethanol, 4-chloro-alpha-(4-chlorophenyl)-alpha-cyclopropyl-; RefChem:930002"
O=C(Nc1ccc(Oc2ccc(Cl)cc2)c(Cl)c1)c1cc(I)cc(I)c1O,31475,"N-[3-chloro-4-(4-chlorophenoxy)phenyl]-2-hydroxy-3,5-diiodobenzamide","N-[3-chloro-4-(4-chlorophenoxy)phenyl]-2-hydroxy-3,5-diiodobenzamide",RAFOXANIDE,"RAFOXANIDE; 22662-39-1; Rafoxanida; Rafoxanidum; 3'-Chloro-4'-(p-chlorophenoxy)-3,5-diiodosalicylanilide; NSC-355278; DTXSID5046227; 22F4FLA7DH; Benzamide, N-(3-chloro-4-(4-chlorophenoxy)phenyl)-2-hydroxy-3,5-diiodo-; DTXCID3026227"
C1=CC(=CC=C1OC2=C(C=C(C=C2)NC(=O)C3=C(C(=CC(=C3)I)I)O)Cl)Cl,31475,"N-[3-chloro-4-(4-chlorophenoxy)phenyl]-2-hydroxy-3,5-diiodobenzamide","N-[3-chloro-4-(4-chlorophenoxy)phenyl]-2-hydroxy-3,5-diiodobenzamide",RAFOXANIDE,"RAFOXANIDE; 22662-39-1; Rafoxanida; Rafoxanidum; 3'-Chloro-4'-(p-chlorophenoxy)-3,5-diiodosalicylanilide; NSC-355278; DTXSID5046227; 22F4FLA7DH; Benzamide, N-(3-chloro-4-(4-chlorophenoxy)phenyl)-2-hydroxy-3,5-diiodo-; DTXCID3026227"
CCCS(=O)(=O)C1=CC2=C(C=C1)N=C(N2)NC(=O)OC,53174,methyl N-(6-propylsulfonyl-1H-benzimidazol-2-yl)carbamate,methyl N-(6-propylsulfonyl-1H-benzimidazol-2-yl)carbamate,Albendazole sulfone,"Albendazole sulfone; 75184-71-3; 1UIC88380G; DTXSID00226167; Carbamic acid, (5-(propylsulfonyl)-1H-benzimidazol-2-yl)-, methyl ester; RefChem:553267; DTXCID00148658; Albendazole-sulfone; methyl (6-(propylsulfonyl)-1H-benzo[d]imidazol-2-yl)carbamate; MFCD00600775"
CCCOc1ccc2nc(NC(=O)OC)sc2c1,72157,"methyl N-(6-propoxy-1,3-benzothiazol-2-yl)carbamate","methyl N-(6-propoxy-1,3-benzothiazol-2-yl)carbamate",Tioxidazole,"Tioxidazole; 61570-90-9; Tioxidazol; methyl N-(6-propoxy-1,3-benzothiazol-2-yl)carbamate; Tioxidazolum; Sch-21480; SCH 21480; NZW046NI85; DTXSID7046178; DTXCID5026178"
CCCOC1=CC2=C(C=C1)N=C(S2)NC(=O)OC,72157,"methyl N-(6-propoxy-1,3-benzothiazol-2-yl)carbamate","methyl N-(6-propoxy-1,3-benzothiazol-2-yl)carbamate",Tioxidazole,"Tioxidazole; 61570-90-9; Tioxidazol; methyl N-(6-propoxy-1,3-benzothiazol-2-yl)carbamate; Tioxidazolum; Sch-21480; SCH 21480; NZW046NI85; DTXSID7046178; DTXCID5026178"
C1=CC=C2C(=C1)C=CC=N2,7047,quinoline,quinoline,QUINOLINE,QUINOLINE; 91-22-5; 1-Benzazine; Chinolin; Chinoline; Chinoleine; Quinolin; 1-Azanaphthalene; Leucol; Leukol
CN1CCN(C(=O)C2CCCCC2)CC1,667497,cyclohexyl-(4-methylpiperazin-1-yl)methanone,cyclohexyl-(4-methylpiperazin-1-yl)methanone,Pexantel,Pexantel; Pexantel [INN]; 10001-13-5; 1-(Cyclohexylcarbonyl)-4-methylpiperazine; UNII-HOH9HJ2737; HOH9HJ2737; DTXSID4046288; DTXCID2026288; pesantel; pexantelum
CN1CCN(CC1)C(=O)C2CCCCC2,667497,cyclohexyl-(4-methylpiperazin-1-yl)methanone,cyclohexyl-(4-methylpiperazin-1-yl)methanone,Pexantel,Pexantel; Pexantel [INN]; 10001-13-5; 1-(Cyclohexylcarbonyl)-4-methylpiperazine; UNII-HOH9HJ2737; HOH9HJ2737; DTXSID4046288; DTXCID2026288; pesantel; pexantelum
COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,35802,methyl N-[6-(4-fluorobenzoyl)-1H-benzimidazol-2-yl]carbamate,methyl N-[6-(4-fluorobenzoyl)-1H-benzimidazol-2-yl]carbamate,Flubendazole,"Flubendazole; 31430-15-6; Flubendazol; Flubendazolum; R 17,889; Methyl 5-(p-fluorobenzoyl)-2-benzimidazolecarbamate; R 17899; NSC-313680; DTXSID8023058; (5-(4-Fluorobenzoyl)-1H-benzimidazole-2-yl)carbamic acid methyl ester"
CCCCNC(=O)N1C2=CC=CC=C2N=C1NC(=O)OC,28780,methyl N-[1-(butylcarbamoyl)benzimidazol-2-yl]carbamate,methyl N-[1-(butylcarbamoyl)benzimidazol-2-yl]carbamate,BENOMYL,BENOMYL; 17804-35-2; Benlate; Fundazol; Uzgen; Fungochrom; Agrocit; Benlate 50; Benomyl-Imex; Fungicide D-1991
C1=CC=C2C(=C1)NC=N2,5798,1H-benzimidazole,1H-benzimidazole,BENZIMIDAZOLE,"BENZIMIDAZOLE; 51-17-2; 1H-Benzimidazole; 1,3-Benzodiazole; Benzoimidazole; o-Benzimidazole; Benzoglyoxaline; 3-Azaindole; Benziminazole; Azindole"
COC(=O)Nc1nc2ccc(C(=O)C3CC3)cc2[nH]1,35803,methyl N-[6-(cyclopropanecarbonyl)-1H-benzimidazol-2-yl]carbamate,methyl N-[6-(cyclopropanecarbonyl)-1H-benzimidazol-2-yl]carbamate,Ciclobendazole,"Ciclobendazole; Cyclobendazole; 31431-43-3; Ciclobendazol; Ciclobendazolum; R 17,147; DTXSID9057713; Methyl 5-(cyclopropylcarbonyl)-2-benzimidazolecarbamate; NSC-335307; JF3KQ40J31"
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3CC3,35803,methyl N-[6-(cyclopropanecarbonyl)-1H-benzimidazol-2-yl]carbamate,methyl N-[6-(cyclopropanecarbonyl)-1H-benzimidazol-2-yl]carbamate,Ciclobendazole,"Ciclobendazole; Cyclobendazole; 31431-43-3; Ciclobendazol; Ciclobendazolum; R 17,147; DTXSID9057713; Methyl 5-(cyclopropylcarbonyl)-2-benzimidazolecarbamate; NSC-335307; JF3KQ40J31"
COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3,40854,methyl N-[6-(benzenesulfinyl)-1H-benzimidazol-2-yl]carbamate,methyl N-[6-(benzenesulfinyl)-1H-benzimidazol-2-yl]carbamate,Oxfendazole,Oxfendazole; 53716-50-0; Fenbendazole sulfoxide; Synanthic; OFDZ; Oxfendazol; Oxfendazolum; fenbendazole S-oxide; RS-8858; 5-Phenylsulfinyl-2-carbomethoxyaminobenzimidazole
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,4030,methyl N-(6-benzoyl-1H-benzimidazol-2-yl)carbamate,methyl N-(6-benzoyl-1H-benzimidazol-2-yl)carbamate,mebendazole,mebendazole; 31431-39-7; Vermox; Pantelmin; Telmin; Mebenvet; Ovitelmin; Vermicidin; Vermirax; MBDZ
CN1CCC[C@H]1C2=CN=CC=C2,89594,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,nicotine,nicotine; L-Nicotine; 54-11-5; (-)-Nicotine; (S)-Nicotine; (S)-3-(1-methylpyrrolidin-2-yl)pyridine; (S)-(-)-Nicotine; Habitrol; Nicotrol; 3-[(2S)-1-methylpyrrolidin-2-yl]pyridine
CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1,26596,methyl N-(6-butyl-1H-benzimidazol-2-yl)carbamate,methyl N-(6-butyl-1H-benzimidazol-2-yl)carbamate,Parbendazole,Parbendazole; 14255-87-9; Verminum; Worm Guard; Parbendazol; Helatac; PBDZ; Parbendazolum; SK&F 29044; TCMDC-131798
C1=C(C=C(C(=C1O)C2=C(C=C(C=C2Br)Br)OP(=O)(O)O)Br)Br,89962,"[3,5-dibromo-2-(2,4-dibromo-6-hydroxyphenyl)phenyl] dihydrogen phosphate","[3,5-dibromo-2-(2,4-dibromo-6-hydroxyphenyl)phenyl] dihydrogen phosphate",Bromophenophos,"Bromophenophos; 23015-40-9; U4L04459Y3; DTXSID90177573; (1,1'-Biphenyl)-2,2'-diol, 4,4',6,6'-tetrabromo-, mono(dihydrogen phosphate); bromphenophos; RefChem:121615; DTXCID50100064; 4,4',6,6'-tetrabromo-3,3'-biphenyldiol-2-dihydrogen phosphate; 3,3',5,5'-Tetrabromo-(1,1'-biphenyl)-2,2'-diol mono(dihydrogen phosphate)"
CCCCC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,26596,methyl N-(6-butyl-1H-benzimidazol-2-yl)carbamate,methyl N-(6-butyl-1H-benzimidazol-2-yl)carbamate,Parbendazole,Parbendazole; 14255-87-9; Verminum; Worm Guard; Parbendazol; Helatac; PBDZ; Parbendazolum; SK&F 29044; TCMDC-131798
COC(=O)Nc1nc2ccc(C3(c4ccc(F)cc4)OCCO3)cc2[nH]1,71745,"methyl N-[6-[2-(4-fluorophenyl)-1,3-dioxolan-2-yl]-1H-benzimidazol-2-yl]carbamate","methyl N-[6-[2-(4-fluorophenyl)-1,3-dioxolan-2-yl]-1H-benzimidazol-2-yl]carbamate",Etibendazole,"Etibendazole; 64420-40-2; Etibendazol; NSC-313432; 1XU086MM3H; R-34,803; Methyl 5-(2-(p-fluorophenyl)-1,3-dioxolan-2-yl)-2-benzimidazolecarbamate; Carbamic acid, (5-(2-(4-fluorophenyl)-1,3-dioxolan-2-yl)-1H-benzimidazol-2-yl)-, methyl ester; methyl N-[6-[2-(4-fluorophenyl)-1,3-dioxolan-2-yl]-1H-benzimidazol-2-yl]carbamate; R-34803"
CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,50248,"6-chloro-5-(2,3-dichlorophenoxy)-2-methylsulfanyl-1H-benzimidazole","6-chloro-5-(2,3-dichlorophenoxy)-2-methylsulfanyl-1H-benzimidazole",Triclabendazole,"Triclabendazole; 68786-66-3; Fasinex; Egaten; Triclabendazol; Triclabendazolum; 5-Chloro-6-(2,3-dichlorophenoxy)-2-(methylthio)-1H-benzimidazole; NVP-EGA230; EGA230B; DTXSID7043952"
CN1CCN(CC1)C(=S)NC2=CC=C(C=C2)NC3=CC=C(C=C3)[N+](=O)[O-],5464102,4-methyl-N-[4-(4-nitroanilino)phenyl]piperazine-1-carbothioamide,4-methyl-N-[4-(4-nitroanilino)phenyl]piperazine-1-carbothioamide,Amocarzine,Amocarzine; Phenthiourezine; 36590-19-9; Amocarzina; Amocarzinum; 99807U412Y; 4-Nitro-4'-(N-methyl)piperazinyl thiocarbonylidodiphenylamine; CHEBI:38946; 4-Methyl-4'-(p-nitroanilino)thio-1-piperazinecarboxanilide; 4-methyl-N-(4-((4-nitrophenyl)amino)phenyl)piperazine-1-carbothioamide
CC1=CC(=O)C2=C(C1=O)C=CC=C2O,10205,"5-hydroxy-2-methylnaphthalene-1,4-dione","5-hydroxy-2-methylnaphthalene-1,4-dione",Plumbagin,"Plumbagin; 481-42-5; 5-hydroxy-2-methylnaphthalene-1,4-dione; Plumbagine; 5-Hydroxy-2-methyl-1,4-naphthoquinone; 2-Methyljuglone; Plumbaein; Plumbagone; 5-Hydroxy-2-methyl-1,4-naphthalenedione; 2-Methyl-5-hydroxy-1,4-naphthoquinone"
C[N+](C)(CCOc1ccccc1)Cc1cccs1,20294,dimethyl-(2-phenoxyethyl)-(thiophen-2-ylmethyl)azanium,dimethyl-(2-phenoxyethyl)-(thiophen-2-ylmethyl)azanium,Thenium,"Thenium; Thenium cation; Thenium ion; UNII-3DDR181HS3; 3DDR181HS3; 2-Thiophenemethanaminium, N,N-dimethyl-N-(2-phenoxyethyl)-; 16776-64-0; RefChem:189167; SCHEMBL166991; CHEMBL2111038"
C[N+](C)(CCOC1=CC=CC=C1)CC2=CC=CS2.C1=CC(=CC=C1S(=O)(=O)[O-])Cl,498092,4-chlorobenzenesulfonate;dimethyl-(2-phenoxyethyl)-(thiophen-2-ylmethyl)azanium,4-chlorobenzenesulfonate;dimethyl-(2-phenoxyethyl)-(thiophen-2-ylmethyl)azanium,THENIUM CLOSYLATE,THENIUM CLOSYLATE; 4304-40-9; Thenium closilate; Closilato de tenio; Closilate de thenium; Thenii closilas; 611 C 65; TU308VI4JY; NSC-106569; 611-C-65
CCCOc1ccc2[nH]c(NC(=O)OC)nc2c1,4622,methyl N-(6-propoxy-1H-benzimidazol-2-yl)carbamate,methyl N-(6-propoxy-1H-benzimidazol-2-yl)carbamate,Oxibendazole,Oxibendazole; 20559-55-1; Anthelcide EQ; Filaribits Plus; Oxibendazolum; SK&F 30310; Methyl 5-propoxy-2-benzimidazolecarbamate; oxibendazol; SK&F-30310; DTXSID5045625
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,2082,methyl N-(6-propylsulfanyl-1H-benzimidazol-2-yl)carbamate,methyl N-(6-propylsulfanyl-1H-benzimidazol-2-yl)carbamate,albendazole,albendazole; 54965-21-8; Albenza; Eskazole; Zentel; Valbazen; Albendazol; Proftril; Albendazolum; Bilutac
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F,35802,methyl N-[6-(4-fluorobenzoyl)-1H-benzimidazol-2-yl]carbamate,methyl N-[6-(4-fluorobenzoyl)-1H-benzimidazol-2-yl]carbamate,Flubendazole,"Flubendazole; 31430-15-6; Flubendazol; Flubendazolum; R 17,889; Methyl 5-(p-fluorobenzoyl)-2-benzimidazolecarbamate; R 17899; NSC-313680; DTXSID8023058; (5-(4-Fluorobenzoyl)-1H-benzimidazole-2-yl)carbamic acid methyl ester"
C[N+](C)(CCOc1ccccc1)Cc1ccccc1,19667,benzyl-dimethyl-(2-phenoxyethyl)azanium,benzyl-dimethyl-(2-phenoxyethyl)azanium,BEPHENIUM,"BEPHENIUM; Bephenum; Benzyldimethyl(2-phenoxyethyl)ammonium; HSDB 3207; Ammonium, benzyldimethyl(2-phenoxyethyl)-; EINECS 230-546-7; UNII-PXO9B4983I; BRN 4143098; PXO9B4983I; Benzenemethanaminium, N,N-dimethyl-N-(2-phenoxyethyl)-"
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],11057,"[4-[bis[4-(dimethylamino)phenyl]methylidene]cyclohexa-2,5-dien-1-ylidene]-dimethylazanium chloride","[4-[bis[4-(dimethylamino)phenyl]methylidene]cyclohexa-2,5-dien-1-ylidene]-dimethylazanium chloride",Crystal violet,Crystal violet; gentian violet; 548-62-9; methylrosanilinium chloride; Methyl Violet 10B; Aniline Violet; Hexamethyl Violet; Hexamethylpararosaniline chloride; Gentiaverm; Methylrosaniline chloride
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,4122,methyl N-[6-(thiophene-2-carbonyl)-1H-benzimidazol-2-yl]carbamate,methyl N-[6-(thiophene-2-carbonyl)-1H-benzimidazol-2-yl]carbamate,nocodazole,"nocodazole; 31430-18-9; Oncodazole; Nocodazol; Nocodazolum; R 17934; NSC-238159; NSC 238159; R 17,934; R-17934"
CC(=O)CC1CCCCN1,92987,1-piperidin-2-ylpropan-2-one,1-piperidin-2-ylpropan-2-one,4396-01-4,4396-01-4; Isopelletierin; dl-Pelletierine; Isopelletierine; Isopunicine; 8-Methylnorlobelone; 1-(2-Piperidinyl)-2-propanone; RefChem:907240; 1-(Piperidin-2-yl)propan-2-one; (+/-)-Pelletierine
COC1=CC=C(C=C1)CC[C@H]2CC3=C(C(=CC(=C3)O)O)C(=O)O2,161362,"(3S)-6,8-dihydroxy-3-[2-(4-methoxyphenyl)ethyl]-3,4-dihydroisochromen-1-one","(3S)-6,8-dihydroxy-3-[2-(4-methoxyphenyl)ethyl]-3,4-dihydroisochromen-1-one",Agrimonolide,"Agrimonolide; 21499-24-1; 3,4-Dihydro-6,8-dihydroxy-3-(2-(4-methoxyphenyl)ethyl)-1H-2-benzopyran-1-one; RefChem:110208; (3S)-6,8-dihydroxy-3-[2-(4-methoxyphenyl)ethyl]-3,4-dihydroisochromen-1-one; MEGxp0_000428; orb1683209; Isocoumarin, 3,4-dihydro-6,8-dihydroxy-3-(p-methoxyphenethyl)-, (S)-; SCHEMBL28057641; SCHEMBL30330184"
CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,2082,methyl N-(6-propylsulfanyl-1H-benzimidazol-2-yl)carbamate,methyl N-(6-propylsulfanyl-1H-benzimidazol-2-yl)carbamate,albendazole,albendazole; 54965-21-8; Albenza; Eskazole; Zentel; Valbazen; Albendazol; Proftril; Albendazolum; Bilutac
CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,4622,methyl N-(6-propoxy-1H-benzimidazol-2-yl)carbamate,methyl N-(6-propoxy-1H-benzimidazol-2-yl)carbamate,Oxibendazole,Oxibendazole; 20559-55-1; Anthelcide EQ; Filaribits Plus; Oxibendazolum; SK&F 30310; Methyl 5-propoxy-2-benzimidazolecarbamate; oxibendazol; SK&F-30310; DTXSID5045625
CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,50248,"6-chloro-5-(2,3-dichlorophenoxy)-2-methylsulfanyl-1H-benzimidazole","6-chloro-5-(2,3-dichlorophenoxy)-2-methylsulfanyl-1H-benzimidazole",Triclabendazole,"Triclabendazole; 68786-66-3; Fasinex; Egaten; Triclabendazol; Triclabendazolum; 5-Chloro-6-(2,3-dichlorophenoxy)-2-(methylthio)-1H-benzimidazole; NVP-EGA230; EGA230B; DTXSID7043952"
COC(=O)Nc1nc2cc(SC3CCCCC3)ccc2[nH]1,170311,methyl N-(6-cyclohexylsulfanyl-1H-benzimidazol-2-yl)carbamate,methyl N-(6-cyclohexylsulfanyl-1H-benzimidazol-2-yl)carbamate,Dribendazole,"Dribendazole; 63667-16-3; SK&F 63797; 5491IVP21O; SK&F-63797; methyl N-(6-cyclohexylsulfanyl-1H-benzimidazol-2-yl)carbamate; Methyl 5-(cyclohexylthio)-2-benzimidazolecarbamate; Carbamic acid, (5-(cyclohexylthio)-1H-benzimidazol-2-yl)-, methyl ester; Dribendazole [USAN:INN]; Dribendazol"
COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,3334,methyl N-(6-phenylsulfanyl-1H-benzimidazol-2-yl)carbamate,methyl N-(6-phenylsulfanyl-1H-benzimidazol-2-yl)carbamate,fenbendazole,fenbendazole; 43210-67-9; Panacur; Fenbendazol; Phenbendasol; Fenbendazolum; Hoe 881v; Safe-Guard; Methyl 5-(phenylthio)-2-benzimidazolecarbamate; Safe-quard
COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,3334,methyl N-(6-phenylsulfanyl-1H-benzimidazol-2-yl)carbamate,methyl N-(6-phenylsulfanyl-1H-benzimidazol-2-yl)carbamate,fenbendazole,fenbendazole; 43210-67-9; Panacur; Fenbendazol; Phenbendasol; Fenbendazolum; Hoe 881v; Safe-Guard; Methyl 5-(phenylthio)-2-benzimidazolecarbamate; Safe-quard
CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,4612,"[7-nitro-2-[(propan-2-ylamino)methyl]-1,2,3,4-tetrahydroquinolin-6-yl]methanol","[7-nitro-2-[(propan-2-ylamino)methyl]-1,2,3,4-tetrahydroquinolin-6-yl]methanol",oxamniquine,oxamniquine; 21738-42-1; Mansil; Vansil; Oxaminiquine; UK-4271; Oxamniquinum; Oxamniquina; UK 4271; DTXSID3023398
CC(C)NCC1CCC2=CC(=C(C=C2N1)[N+](=O)[O-])CO,4612,"[7-nitro-2-[(propan-2-ylamino)methyl]-1,2,3,4-tetrahydroquinolin-6-yl]methanol","[7-nitro-2-[(propan-2-ylamino)methyl]-1,2,3,4-tetrahydroquinolin-6-yl]methanol",oxamniquine,oxamniquine; 21738-42-1; Mansil; Vansil; Oxaminiquine; UK-4271; Oxamniquinum; Oxamniquina; UK 4271; DTXSID3023398
CCN(CC)CCNC1=CC(=C(C=C1)C)Cl,75648,"N-(3-chloro-4-methylphenyl)-N',N'-diethylethane-1,2-diamine","N-(3-chloro-4-methylphenyl)-N',N'-diethylethane-1,2-diamine",Mirasan,"Mirasan; 2519-75-7; DTXSID30179859; N-(3-chloro-4-methyl-phenyl)-N',N'-diethyl-ethane-1,2-diamine; RefChem:927388; DTXCID40102350; N2-(3-Chloro-4-methylphenyl)-N1,N1-diethyl-1,2-ethanediamine; 1,2-Ethanediamine, N'-(3-chloro-4-methylphenyl)-N,N-diethyl-; AC1Q3MLH; AC1L2P7Y"
C1=CC=C(C=C1)C2=C(C=CC(=C2)NC3=CC=C(C=C3)[N+](=O)[O-])NC(=O)S,5487655,[4-(4-nitroanilino)-2-phenylphenyl]carbamothioic S-acid,[4-(4-nitroanilino)-2-phenylphenyl]carbamothioic S-acid,Phenithionate,"Phenithionate; DTXSID50232430; Carbamothioic acid, (4-((4-nitrophenyl)amino)phenyl)-, O-phenyl ester; Phenyl-4-nitrodiphenylamine-4'-thiocarbamate; RefChem:172701; DTXCID50154921; 83538-74-3; [4-(4-nitroanilino)-2-phenylphenyl]carbamothioic S-acid"
Cc1cc(O)c2c(ccc3nc(-c4ccco4)[nH]c32)n1,312914,"2-(furan-2-yl)-7-methyl-3,6-dihydroimidazo[4,5-f]quinolin-9-one","2-(furan-2-yl)-7-methyl-3,6-dihydroimidazo[4,5-f]quinolin-9-one",Furodazole,"Furodazole; 56119-96-1; Furodazole [INN]; Furodazole anhydrous; UNII-5B6I19ZE0R; 5B6I19ZE0R; Furodazole, anhydrous; NSC 225227; NSC-225227; F 691"
